Size,IsPublic,GFA,AirconFA,Occupancy,ChillerType,ChillerAge,ChillerEff,ChillerAudit,LED,EUI,Age,TotalEnergy,NonAirconFA
Small,No,11254.0,11254.0,99.0,"Others (Split Units, Unitary Systems)",2.0,,,100.0,376.6,27.0,4238.26,0.0
Large,No,23418.0,21544.56,98.0,Water Cooled Chilled Water Plant,7.0,0.65,2.0,0.0,205.3,9.0,4807.72,1873.44
Large,No,25879.0,19926.83,100.0,Water Cooled Chilled Water Plant,12.0,0.72,2.0,10.0,226.4,36.0,5859.01,5952.17
Small,No,11427.0,9827.22,96.0,Air Cooled Chilled Water Plant,1.0,0.63,,0.0,219.4,18.0,2507.08,1599.78
Small,No,1175.0,998.75,100.0,"Others (Split Units, Unitary Systems)",6.0,,,0.0,86.6,90.0,101.76,176.25
Small,No,2602.0,1821.4,75.0,"Others (Split Units, Unitary Systems)",9.0,,,0.0,60.7,56.0,157.94,780.6
Small,No,4359.0,3312.84,93.0,"Others (Split Units, Unitary Systems)",1.0,,,5.0,151.7,34.0,661.26,1046.16
Small,No,5934.0,771.42,90.0,Water Cooled Chilled Water Plant,8.0,1.33,,20.0,157.8,30.0,936.39,5162.58
Small,No,5345.0,3794.95,100.0,"Others (Split Units, Unitary Systems)",0.0,,,90.0,206.8,1.0,1105.35,1550.05
Small,No,2121.0,1845.27,100.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,136.1,41.0,288.67,275.73
Small,No,1234.0,1234.0,100.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,96.0,11.0,118.46,0.0
Small,No,3038.0,2339.26,100.0,Air Cooled Chilled Water Plant,1.0,,,100.0,149.4,27.0,453.88,698.74
Large,No,24707.0,17541.97,100.0,Air Cooled Chilled Water Plant,12.0,1.58,3.0,0.0,109.1,13.0,2695.53,7165.03
Small,No,2295.0,1858.95,100.0,"Others (Split Units, Unitary Systems)",7.0,,,0.0,313.6,19.0,719.71,436.05
Large,No,16815.0,9920.85,97.0,Water Cooled Chilled Water Plant,2.0,,,0.0,120.4,33.0,2024.53,6894.15
Large,No,61720.0,59251.2,80.0,Water Cooled Chilled Water Plant,19.0,,,0.0,142.8,21.0,8813.62,2468.8
Small,No,4859.0,2089.37,90.0,Water Cooled Chilled Water Plant,8.0,0.99,2.0,100.0,297.9,35.0,1447.5,2769.63
Small,Yes,5147.0,4683.77,100.0,"Others (Split Units, Unitary Systems)",20.0,,,0.0,220.7,52.0,1135.94,463.23
Large,No,15740.0,12749.4,81.0,Water Cooled Chilled Water Plant,15.0,,,0.0,220.3,18.0,3467.52,2990.6
Large,Yes,20866.0,13771.56,100.0,"Others (Split Units, Unitary Systems)",1.0,,,10.0,72.2,40.0,1506.53,7094.44
Small,Yes,6120.0,1530.0,100.0,"Others (Split Units, Unitary Systems)",2.0,,,0.0,46.4,58.0,283.97,4590.0
Small,Yes,3289.0,2170.74,100.0,"Others (Split Units, Unitary Systems)",6.0,,,0.0,91.7,58.0,301.6,1118.26
